task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	74/aad9e3	621851	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 16:13:01.541	2h 46m 16s	2h 45m 58s	98.6%	19 GB	21.9 GB	189.9 GB	198.5 GB
221	24/b2778b	622171	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:15;MEM_PER_THREAD:25GB)	COMPLETED	0	2022-02-19 18:24:46.594	36m 11s	18m 18s	864.2%	26 GB	28.5 GB	158.3 GB	154.3 GB
229	c3/7d87dd	622180	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 18:29:06.687	32m 6s	19m 52s	775.1%	16.7 GB	18.6 GB	158.3 GB	154.3 GB
219	48/8b8748	622170	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:15;MEM_PER_THREAD:23GB)	COMPLETED	0	2022-02-19 18:24:36.546	36m 51s	19m 50s	798.9%	24.1 GB	26.7 GB	158.3 GB	154.3 GB
230	89/a295fc	622183	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-19 18:30:26.699	31m 46s	20m 18s	784.1%	18.6 GB	20.2 GB	158.3 GB	154.3 GB
196	9b/7960a0	622148	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:13;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 18:14:06.964	48m 15s	47m 44s	502.2%	12.7 GB	13.5 GB	159 GB	154.7 GB
220	1f/0af9bc	622173	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:15;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-19 18:25:36.810	37m 21s	19m 34s	814.6%	22.3 GB	23.5 GB	158.3 GB	154.3 GB
231	27/88fbc8	622182	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 18:30:26.682	32m 46s	18m 53s	836.3%	20.4 GB	22 GB	158.3 GB	154.3 GB
208	0b/4113e3	622159	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:15;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 18:21:16.557	43m 31s	43m	363.0%	13.5 GB	14.5 GB	159 GB	154.7 GB
2	b8/671333	621841	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:13:00.484	2h 52m 17s	2h 52m 16s	94.5%	3 GB	7.1 GB	190 GB	198.5 GB
223	df/f5fb2a	622174	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 18:25:41.549	41m 16s	41m 9s	375.5%	14.4 GB	15.6 GB	159.1 GB	154.7 GB
233	2c/78d312	622184	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:23GB)	COMPLETED	0	2022-02-19 18:30:32.064	36m 30s	20m 58s	767.2%	24.1 GB	26.9 GB	158.3 GB	154.3 GB
232	7a/91c20a	622185	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-19 18:30:46.990	37m 21s	21m 1s	763.7%	22.3 GB	23.6 GB	158.3 GB	154.3 GB
119	c1/c02b5b	622032	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:41:45.113	2h 29m 7s	2h 29m 3s	95.7%	3 GB	8.4 GB	158.5 GB	154.5 GB
121	03/04197d	622035	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 16:43:10.158	2h 29m 27s	2h 29m 15s	97.6%	7 GB	13.3 GB	158.4 GB	154.4 GB
279	1b/1128de	622241	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 18:48:31.998	24m 51s	24m 25s	587.2%	12.9 GB	14.2 GB	147.8 GB	144.2 GB
282	b4/ca9919	622244	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-19 18:48:47.168	25m 11s	25m	575.7%	18.4 GB	19.4 GB	147.7 GB	144.1 GB
284	47/7647f8	622247	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:23GB)	COMPLETED	0	2022-02-19 18:49:16.997	24m 56s	24m 42s	577.7%	24 GB	26 GB	147.7 GB	144.1 GB
122	c7/4bdfd1	622034	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 16:42:55.121	2h 31m 23s	2h 30m 54s	96.4%	9 GB	11.7 GB	158.4 GB	154.4 GB
278	4f/830e34	622238	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 18:48:17.005	26m 16s	26m 5s	547.3%	11.1 GB	11.8 GB	147.8 GB	144.2 GB
295	f0/1a2100	622260	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:9;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-19 18:54:07.241	20m 26s	20m 1s	720.6%	18.4 GB	19.5 GB	147.7 GB	144.1 GB
280	2e/218b2d	622243	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 18:48:37.251	26m 6s	25m 47s	556.1%	14.7 GB	16 GB	147.8 GB	144.2 GB
281	7d/67def1	622242	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 18:48:32.010	26m 26s	25m 58s	549.8%	16.6 GB	17.6 GB	147.7 GB	144.2 GB
283	3e/430b0b	622246	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 18:49:12.073	26m 6s	25m 49s	554.7%	20.3 GB	21.1 GB	147.7 GB	144.1 GB
285	a7/3810ba	622248	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:25GB)	COMPLETED	0	2022-02-19 18:49:47.009	25m 51s	24m 38s	577.5%	25.9 GB	27.7 GB	147.7 GB	144.1 GB
296	16/06a112	622263	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:9;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-19 18:54:57.243	20m 56s	20m 51s	696.0%	22.1 GB	24.4 GB	147.7 GB	144.1 GB
293	f8/381849	622259	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:9;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 18:53:52.247	22m 31s	22m 22s	646.9%	14.7 GB	16.1 GB	147.8 GB	144.2 GB
292	a6/7b6d2c	622258	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:9;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 18:53:42.294	22m 50s	22m 31s	644.0%	12.9 GB	14.4 GB	147.8 GB	144.2 GB
291	5f/12cfec	622255	sambamba_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:9;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 18:53:22.240	23m 46s	23m 40s	610.9%	11 GB	11.9 GB	147.8 GB	144.2 GB
125	ba/95b136	622038	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:1;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 16:51:00.239	2h 26m 13s	2h 25m 46s	98.1%	15 GB	17.4 GB	158.3 GB	154.3 GB
