task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	%mem	peak_rss	peak_vmem	rchar	wchar
329	6d/2e4224	638610	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 12:37:42.016	48m 30s	48m 26s	548.6%	16.4 GB	3.3%	17.6 GB	19.9 GB	189.3 GB	187 GB
338	4a/69ded1	638622	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 12:54:47.292	31m 25s	31m 21s	382.4%	29.1 GB	5.8%	29.2 GB	32.1 GB	176.4 GB	174.2 GB
328	c9/c9c522	638604	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 12:34:41.992	53m 10s	53m 9s	437.0%	17 GB	3.4%	17.2 GB	19.8 GB	145.2 GB	128 GB
330	f8/64afae	638609	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 12:37:36.986	50m 40s	50m 37s	530.9%	29.2 GB	5.8%	29.2 GB	32.2 GB	184.5 GB	182.2 GB
319	e1/4d9383	638602	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:5;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 12:34:27.014	55m 40s	55m 39s	403.3%	96 GB	19.1%	96 GB	98 GB	139.8 GB	122.5 GB
343	73/01c429	638624	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 13:01:22.393	31m 35s	31m 33s	338.5%	28.6 GB	5.7%	28.7 GB	31.9 GB	133.5 GB	116.6 GB
341	6b/bb29b8	638618	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:5;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 12:53:12.284	40m 15s	40m 11s	435.8%	101.6 GB	20.2%	101.6 GB	106 GB	189.9 GB	198.4 GB
340	4c/1500d3	638623	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:5;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 12:56:32.330	40m 35s	40m 31s	363.6%	89.4 GB	17.8%	90.7 GB	97.1 GB	147.5 GB	144 GB
350	31/0c2741	638634	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 13:10:12.292	27m	26m 58s	543.6%	8.1 GB	1.6%	8.2 GB	10.2 GB	147.9 GB	144.3 GB
342	1a/ba8485	638621	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 12:54:42.243	43m	42m 57s	530.0%	40 GB	7.9%	40.1 GB	42.6 GB	142.7 GB	125.5 GB
349	71/84a408	638628	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 13:06:27.335	31m 20s	31m 19s	340.2%	39.6 GB	7.9%	40.1 GB	42.5 GB	133.5 GB	116.6 GB
348	cf/e1438f	638632	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:5;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 13:09:12.318	30m 20s	30m 16s	472.0%	98.8 GB	19.6%	100.5 GB	105.6 GB	147.6 GB	144.1 GB
345	73/cd19c7	638627	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 13:02:32.328	40m 5s	40m	427.5%	7.7 GB	1.5%	8 GB	11.6 GB	190 GB	198.5 GB
347	a6/217673	638625	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 13:01:32.307	41m 50s	41m 49s	548.7%	51.4 GB	10.2%	51.5 GB	56.3 GB	145.1 GB	127.9 GB
353	bf/a05a0f	638635	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 13:10:22.343	35m 35s	35m 33s	503.2%	18.2 GB	3.6%	18.3 GB	21.5 GB	190 GB	198.5 GB
358	1b/fe31e1	638642	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 13:16:27.369	29m 45s	29m 43s	496.3%	18.1 GB	3.6%	18.3 GB	20.2 GB	147.7 GB	144.2 GB
346	76/602ec6	638630	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 13:07:47.369	38m 30s	38m 26s	335.9%	39.7 GB	7.9%	40.8 GB	42.9 GB	180.8 GB	178.6 GB
357	3c/a873c3	638641	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 13:16:02.392	31m 35s	31m 32s	562.9%	30.4 GB	6.0%	30.5 GB	31.9 GB	189.9 GB	198.4 GB
337	eb/89d513	638620	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 12:54:37.275	53m 15s	53m 15s	503.8%	40.1 GB	8.0%	40.8 GB	43.1 GB	189.3 GB	187 GB
354	5f/1691db	638637	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 13:13:07.425	35m 40s	35m 36s	358.8%	52.5 GB	10.4%	52.5 GB	56.8 GB	180.8 GB	178.6 GB
344	73/53f930	638626	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 13:02:02.332	48m 15s	48m 12s	551.0%	51.7 GB	10.3%	52.5 GB	56.8 GB	189.3 GB	187 GB
355	8e/7b9758	638640	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 13:15:22.406	35m 30s	35m 26s	299.4%	50.7 GB	10.1%	51.5 GB	56.3 GB	135.7 GB	118.8 GB
363	b6/0c85de	638648	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 13:26:12.531	25m 45s	25m 42s	559.2%	29.9 GB	5.9%	30.5 GB	32 GB	147.6 GB	144.1 GB
359	c4/e0c960	638644	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 13:19:32.422	37m 20s	37m 18s	283.3%	61.3 GB	12.2%	62.9 GB	67.1 GB	129.8 GB	112.9 GB
336	66/38b764	638619	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 12:54:07.254	1h 2m 50s	1h 2m 47s	367.9%	27.1 GB	5.4%	28.7 GB	31.9 GB	142.7 GB	125.5 GB
366	27/0a2d02	638651	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 13:27:52.527	30m 10s	30m 6s	383.8%	75.7 GB	15.0%	75.8 GB	78.4 GB	164.7 GB	162.5 GB
365	00/0c358f	638649	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 13:26:12.573	32m 40s	32m 36s	538.4%	42.1 GB	8.4%	42.1 GB	45.3 GB	189.9 GB	198.4 GB
369	ef/1c0028	638656	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 13:33:27.534	27m 15s	27m 12s	546.1%	41.3 GB	8.2%	41.7 GB	42.3 GB	147.6 GB	144 GB
368	cf/f02d60	638654	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 13:30:07.429	31m 15s	31m 12s	330.5%	74.3 GB	14.8%	74.4 GB	77.6 GB	129 GB	112.1 GB
361	f3/364066	638647	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 13:24:12.542	37m 25s	37m 19s	329.4%	62.1 GB	12.3%	64.1 GB	67.7 GB	169.1 GB	166.8 GB
351	50/83457e	638633	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 13:09:22.334	53m	52m 57s	434.7%	59.5 GB	11.8%	62.9 GB	67.1 GB	138.5 GB	121.3 GB
352	65/5e7556	638638	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 13:13:12.380	50m 50s	50m 45s	519.4%	63.2 GB	12.5%	64.1 GB	67.7 GB	176.5 GB	174.1 GB
373	92/bdfee5	638660	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 13:37:12.470	27m 25s	27m 20s	545.6%	52.1 GB	10.4%	52.5 GB	55.6 GB	147.6 GB	144 GB
356	f5/233095	638639	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 13:13:32.365	52m 15s	52m 10s	492.5%	74.7 GB	14.8%	75.7 GB	78.6 GB	171.7 GB	169.4 GB
374	1a/c30f6e	638664	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 13:39:32.613	30m 15s	30m 12s	335.3%	85.2 GB	16.9%	85.7 GB	88.4 GB	124.6 GB	107.8 GB
360	ff/e46806	638643	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 13:16:57.400	53m 25s	53m 20s	495.6%	87.4 GB	17.4%	87.4 GB	95.4 GB	184.5 GB	182.2 GB
370	1a/691f7e	638659	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 13:37:07.702	33m 50s	33m 45s	520.0%	53.1 GB	10.5%	53.5 GB	55.8 GB	189.9 GB	198.4 GB
