task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	%mem	peak_rss	peak_vmem	rchar	wchar
462	a4/e7b9ff	638760	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 15:22:03.031	34m 40s	34m 35s	357.4%	9.4 GB	1.9%	9.4 GB	11.9 GB	180 GB	177.8 GB
468	14/782624	638766	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 15:27:53.088	30m	29m 55s	413.7%	27.2 GB	5.4%	28.1 GB	31.4 GB	180 GB	177.8 GB
460	79/e8c733	638758	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 15:19:08.035	38m 50s	38m 45s	605.7%	9.2 GB	1.8%	9.3 GB	11.9 GB	147.5 GB	130.3 GB
453	1e/863361	638751	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:7;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 15:14:27.952	43m 45s	43m 40s	577.5%	142.5 GB	28.3%	146.8 GB	150.7 GB	169.1 GB	166.8 GB
473	ec/c073f1	638777	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 15:36:03.153	22m 10s	22m 6s	778.8%	10.7 GB	2.1%	10.8 GB	12.4 GB	190 GB	198.5 GB
475	85/f30d86	638779	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 15:38:08.150	22m 45s	22m 40s	651.7%	11 GB	2.2%	11 GB	11.9 GB	147.8 GB	144.2 GB
448	61/107997	638744	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:7;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 15:11:02.928	50m 25s	50m 24s	486.5%	132.8 GB	26.4%	132.8 GB	137.6 GB	161.6 GB	159.2 GB
466	5d/a43442	638764	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 15:25:22.994	36m 35s	36m 35s	654.5%	27.3 GB	5.4%	27.5 GB	31.3 GB	145.2 GB	128 GB
464	60/d8e50b	638763	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 15:25:13.075	39m 40s	39m 35s	698.7%	27.8 GB	5.5%	28.1 GB	31.6 GB	188.4 GB	186.1 GB
470	bd/0ffb1b	638773	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 15:32:58.256	32m	31m 56s	359.4%	27.3 GB	5.4%	27.5 GB	31.3 GB	135.7 GB	118.8 GB
459	8f/1ee998	638757	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 15:19:08.013	46m 30s	46m 26s	576.8%	9.3 GB	1.8%	9.4 GB	11.9 GB	188.5 GB	186.1 GB
478	c1/eed87d	638784	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 15:44:03.228	21m 55s	21m 53s	799.1%	27.8 GB	5.5%	28 GB	29.4 GB	189.9 GB	198.5 GB
476	87/5dbfb3	638778	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 15:37:28.107	30m 25s	30m 21s	360.5%	45.1 GB	9.0%	45.8 GB	48.5 GB	135.7 GB	118.8 GB
471	36/813c8b	638774	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 15:34:13.107	38m 25s	38m 20s	701.4%	46.7 GB	9.3%	46.7 GB	51.9 GB	178.1 GB	175.7 GB
474	cb/9fc574	638783	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 15:43:23.221	29m 20s	29m 15s	409.6%	46.4 GB	9.2%	46.7 GB	51.8 GB	170.5 GB	168.3 GB
482	36/abb8b6	638804	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 15:50:23.280	22m 30s	22m 29s	683.5%	27.6 GB	5.5%	27.6 GB	29.6 GB	147.7 GB	144.1 GB
477	df/d33bee	638780	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 15:39:03.155	35m 55s	35m 51s	725.9%	64.7 GB	12.8%	65.3 GB	69.1 GB	178.1 GB	175.7 GB
489	98/68d4d8	638806	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 15:52:08.233	24m 50s	24m 45s	623.2%	43.4 GB	8.6%	43.7 GB	48.1 GB	147.6 GB	144.1 GB
472	ca/579ea9	638775	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 15:35:28.145	41m 55s	41m 51s	583.9%	45.4 GB	9.0%	45.8 GB	48.4 GB	145.1 GB	127.9 GB
480	57/88bb17	638786	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 15:44:23.234	33m	32m 58s	371.6%	63.1 GB	12.5%	64.7 GB	69.1 GB	170.5 GB	168.3 GB
494	07/643d0b	638816	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 15:58:13.221	19m 10s	19m 7s	762.4%	60.4 GB	12.0%	60.7 GB	63.7 GB	147.5 GB	144 GB
493	fe/004819	638815	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 15:57:58.269	21m 15s	21m 12s	811.6%	62.1 GB	12.3%	62.2 GB	63.7 GB	189.9 GB	198.4 GB
481	3c/780076	638787	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 15:44:43.137	36m 15s	36m 10s	720.3%	79.5 GB	15.8%	83.9 GB	86.5 GB	180.7 GB	178.3 GB
479	62/99156d	638785	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 15:44:13.133	36m 50s	36m 47s	626.7%	63.4 GB	12.6%	64 GB	68.5 GB	139.8 GB	122.5 GB
488	11/cbecf2	638810	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 15:54:13.190	26m 55s	26m 52s	662.5%	44.1 GB	8.7%	44.8 GB	48.1 GB	189.9 GB	198.4 GB
484	69/4a66b6	638802	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 15:49:08.198	35m 45s	35m 40s	719.3%	101.7 GB	20.2%	102.6 GB	109.8 GB	172.9 GB	170.6 GB
485	4c/461b03	638805	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 15:50:23.292	35m 20s	35m 18s	650.0%	81.1 GB	16.1%	82.3 GB	85.6 GB	145.1 GB	127.9 GB
486	98/a2b64d	638803	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 15:50:03.166	36m 5s	36m 2s	641.2%	99.7 GB	19.8%	99.7 GB	108.8 GB	143 GB	125.8 GB
501	86/18553b	638822	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 16:04:53.386	21m 50s	21m 48s	682.2%	77.3 GB	15.4%	77.5 GB	79.2 GB	147.6 GB	144.1 GB
497	2a/d1e81f	638813	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 15:56:43.229	31m 55s	31m 54s	388.1%	101.9 GB	20.2%	102.6 GB	109.7 GB	165.8 GB	163.6 GB
502	e4/f1f880	638824	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 16:05:38.270	24m	23m 59s	734.0%	78.7 GB	15.6%	78.7 GB	85.4 GB	189.9 GB	198.4 GB
491	a1/a8d2b1	638812	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 15:55:28.212	34m 15s	34m 12s	368.3%	81 GB	16.1%	83.2 GB	86.3 GB	172.9 GB	170.6 GB
487	e5/82fd98	638808	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 15:53:03.182	37m 15s	37m 11s	725.4%	120.8 GB	24.0%	121.2 GB	127.2 GB	188.4 GB	186 GB
483	df/f3bcef	638811	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 15:55:13.246	36m 20s	36m 18s	300.9%	63.3 GB	12.6%	64.1 GB	68.5 GB	130.9 GB	114 GB
492	08/d01ef5	638814	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 15:57:53.276	35m 50s	35m 47s	619.1%	114.5 GB	22.7%	118.9 GB	126 GB	134.9 GB	117.7 GB
490	88/32cf02	638809	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 15:53:38.224	41m 15s	41m 15s	612.4%	130.9 GB	26.0%	139.8 GB	144.5 GB	165.3 GB	163 GB
496	6c/003d0c	638819	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 16:00:53.373	34m	33m 55s	321.9%	81 GB	16.1%	82.3 GB	85.6 GB	135.7 GB	118.8 GB
507	b5/b1b91c	642487	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 16:12:53.405	22m 10s	20m 38s	706.7%	94.2 GB	18.7%	94.2 GB	100.9 GB	147.5 GB	144 GB
498	fc/531822	638817	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 15:58:13.233	37m 15s	37m 14s	690.7%	155 GB	30.8%	157.9 GB	161.8 GB	175.5 GB	173.2 GB
506	e7/f81442	642355	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 16:12:43.352	23m 45s	22m 1s	782.9%	96.6 GB	19.2%	96.6 GB	101.2 GB	189.9 GB	198.4 GB
499	95/684ae6	638823	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 16:04:58.302	31m 45s	31m 41s	336.0%	99.1 GB	19.7%	100.5 GB	108.7 GB	133.7 GB	116.9 GB
504	44/8643cf	639367	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 16:07:53.518	30m 15s	30m 10s	339.2%	117.9 GB	23.4%	118.9 GB	125.9 GB	126.7 GB	109.8 GB
500	88/ce095e	638821	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 16:01:58.325	38m 30s	38m 26s	333.5%	120.3 GB	23.9%	120.6 GB	127.1 GB	180 GB	177.7 GB
503	fe/711799	638825	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 16:05:58.273	36m 45s	36m 40s	607.0%	151.5 GB	30.1%	155.4 GB	160.2 GB	127 GB	109.7 GB
495	6a/aa3f3a	638820	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 16:01:28.231	42m	41m 56s	555.1%	136.2 GB	27.1%	137.1 GB	143 GB	145.1 GB	127.9 GB
511	95/c93d03	646845	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 16:17:23.633	26m 45s	20m 58s	823.1%	114 GB	22.6%	114 GB	116.9 GB	189.9 GB	198.4 GB
508	63/d38b6f	646844	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 16:17:23.585	32m 45s	26m 56s	427.1%	139.8 GB	27.8%	139.8 GB	144.3 GB	158.8 GB	156.6 GB
510	93/d9ff1e	646843	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 16:16:58.511	33m 45s	28m 36s	373.3%	137.1 GB	27.2%	137.1 GB	143 GB	135.6 GB	118.8 GB
513	de/85312f	646847	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-25 16:19:13.493	32m 15s	19m 20s	748.9%	110.5 GB	22.0%	111.7 GB	116.4 GB	147.6 GB	144 GB
505	00/3f4e23	642305	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 16:12:38.458	39m 15s	37m 27s	714.6%	177 GB	35.1%	177 GB	191 GB	185.8 GB	183.5 GB
512	d8/883a2d	646846	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 16:17:23.653	37m	31m 10s	751.0%	194.1 GB	38.5%	194.1 GB	208.4 GB	142.5 GB	140.2 GB
509	b3/22c56a	644134	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 16:14:58.565	39m 35s	35m 9s	631.8%	166.9 GB	33.1%	168.3 GB	173.3 GB	133.3 GB	116.1 GB
515	2e/ea1c70	646849	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 16:21:03.473	44m 55s	21m 9s	816.2%	131.1 GB	26.0%	131.1 GB	132.4 GB	189.9 GB	198.4 GB
524	5e/d61f9c	646858	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 16:30:18.458	42m 25s	18m 48s	790.7%	144.8 GB	28.8%	145.2 GB	147.4 GB	147.5 GB	144 GB
519	d4/ec7723	646852	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 16:25:43.647	47m 10s	19m 57s	722.0%	127.2 GB	25.3%	128.1 GB	131.9 GB	147.5 GB	144 GB
540	e8/d41ee6	646880	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:11;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 16:51:28.750	21m 50s	20m 23s	720.6%	12.9 GB	2.6%	12.9 GB	14.5 GB	147.8 GB	144.2 GB
537	23/40a1c9	646878	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:11;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 16:50:08.667	23m 30s	20m 43s	828.9%	12.6 GB	2.5%	12.8 GB	14.3 GB	190 GB	198.5 GB
521	8e/d9a0ed	646855	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 16:28:39.244	45m 55s	20m 37s	831.1%	148.1 GB	29.4%	148.1 GB	160.4 GB	189.9 GB	198.4 GB
528	38/19e798	646869	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 16:36:28.785	38m 30s	19m 46s	733.8%	161.1 GB	32.0%	161.9 GB	169.1 GB	147.5 GB	144 GB
516	93/50e858	646850	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 16:21:08.467	54m	30m 19s	393.3%	157.4 GB	31.3%	157.8 GB	161.6 GB	168.2 GB	165.9 GB
527	8c/0edd81	646864	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 16:34:53.504	40m 45s	21m 1s	811.8%	165.5 GB	32.9%	165.5 GB	175.8 GB	189.9 GB	198.4 GB
532	9d/88f944	646865	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 16:34:53.561	42m 10s	21m 57s	785.2%	182.8 GB	36.3%	182.8 GB	191.7 GB	189.9 GB	198.4 GB
534	46/ded3eb	646872	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 16:40:28.532	38m 15s	22m 50s	651.2%	177.7 GB	35.3%	178.1 GB	190.4 GB	147.5 GB	143.9 GB
514	96/0fe266	646848	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 16:20:58.520	1h 35s	40m 23s	566.6%	185.3 GB	36.8%	186.5 GB	190 GB	139.8 GB	122.5 GB
529	48/544be9	646866	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 16:35:03.485	48m 30s	28m 6s	387.7%	190.8 GB	37.9%	192.5 GB	206.7 GB	138 GB	135.7 GB
531	ea/ba7b56	646867	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:11;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 16:35:28.664	50m	32m 32s	699.1%	56.8 GB	11.3%	57.2 GB	62.4 GB	142.7 GB	125.5 GB
525	e9/e48340	646859	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:11;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 16:31:33.518	54m 10s	32m 47s	700.7%	34.3 GB	6.8%	34.4 GB	38 GB	145.2 GB	128 GB
535	20/c2cecf	646874	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:11;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 16:42:43.626	43m 15s	33m 2s	374.2%	11.7 GB	2.3%	11.8 GB	15.1 GB	179.4 GB	177.2 GB
539	9c/e852cc	646875	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:11;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 16:43:28.562	42m 35s	33m 6s	327.1%	11.3 GB	2.2%	11.6 GB	14.2 GB	135.8 GB	118.9 GB
538	d4/32b53e	646876	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:11;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 16:44:08.543	42m 30s	32m 38s	697.2%	79 GB	15.7%	80.1 GB	83.8 GB	142.7 GB	125.5 GB
543	53/31809b	646882	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:11;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 16:54:23.635	32m 15s	32m 9s	762.8%	128 GB	25.4%	128.2 GB	133.9 GB	159 GB	156.7 GB
522	83/94ced5	646857	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:9;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 16:29:43.489	57m 5s	32m 52s	380.2%	170.8 GB	33.9%	177 GB	190.9 GB	177.6 GB	175.4 GB
542	38/fec425	646881	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:11;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 16:51:53.574	35m 40s	33m 34s	766.6%	102.8 GB	20.4%	104.9 GB	112.3 GB	174.9 GB	172.5 GB
523	4b/c0ac09	646856	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:11;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 16:29:38.513	58m 5s	34m 49s	757.9%	35.1 GB	7.0%	35.1 GB	38.3 GB	184.5 GB	182.2 GB
520	7a/bc07d6	646854	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:11;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 16:26:43.584	1h 1m 20s	35m 6s	655.1%	11.6 GB	2.3%	11.6 GB	14.3 GB	145.3 GB	128.1 GB
533	5d/9c9128	646870	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:11;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 16:36:43.491	51m 50s	35m 39s	740.5%	57.5 GB	11.4%	58.4 GB	63 GB	184.5 GB	182.2 GB
536	fb/646bb6	646879	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:11;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 16:50:43.574	37m 50s	34m 33s	748.3%	81 GB	16.1%	81.6 GB	84.6 GB	178.1 GB	175.7 GB
530	63/89a8b5	646871	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 16:38:08.592	51m 50s	34m 31s	306.8%	187.4 GB	37.2%	188 GB	192.8 GB	130.9 GB	114 GB
544	d5/0a02d1	646883	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:11;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-25 16:54:33.592	35m 40s	35m 4s	644.1%	121.8 GB	24.2%	124.9 GB	131.9 GB	138.5 GB	121.3 GB
518	8c/5bcd30	646851	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:11;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 16:24:53.497	1h 5m 30s	37m 28s	708.2%	11.8 GB	2.3%	11.8 GB	15.1 GB	187.8 GB	185.5 GB
546	65/41bbbc	646897	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:11;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 17:13:18.810	18m 50s	18m 46s	795.0%	33.2 GB	6.6%	33.3 GB	34.9 GB	147.7 GB	144.1 GB
526	f5/cf8150	646863	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 16:33:43.489	58m 55s	38m 10s	272.6%	172.3 GB	34.2%	173.6 GB	177.2 GB	125.3 GB	108.4 GB
541	d0/92b54b	646893	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:11;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 17:05:58.841	30m 5s	30m 3s	404.6%	34.3 GB	6.8%	35.1 GB	38.2 GB	176.4 GB	174.2 GB
517	81/d1409d	646853	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:9;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 16:26:08.496	1h 10m 20s	42m 30s	391.1%	153.9 GB	30.6%	155.2 GB	160.1 GB	119.8 GB	102.9 GB
